id,commercial_name,county_code,full_address,UTMx,UTMy,latitude,longitude
cens-0828450006-2602,AREA OPTICA SLL,21.0,"C/ CAMI RAL 119, 08490 TORDERA",476705.75,4616135.15,41.6966069,2.7200543
cens-0828450006-2852,FEDEROPTICS TORDERA -ESPAI OPTIC LLORET,21.0,"c/ Amadeu Vives 25, 08490 TORDERA",476806.97,4616300.6,41.6981001,2.7212643
cens-0827320002-668,ANTIGA ESCOLA DE CA L'AVI,3.0,"PL. SANT JOAN 1, 08739 SUBIRATS",394544.0,4585057.0,41.4100928,1.738247
cens-0804780001-587,ÒPTICA JANÉ,7.0,"PL DE LA FIRA 6, B, 08261 Cardona",390568.98,4640996.16,41.9132911,1.6804532
cens-0811410007-2891,ÒPTICA UNIVERSITÀRIA,11.0,"RBLA BOBILES 1, LOC3, 08760 MARTORELL",409650.86,4592277.96,41.4769653,1.9178831
cens-0813850006-444,MOIÀ VISIÓ,42.0,"CTRA BARCELONA 3, 08180 Moià",425131.47,4628928.65,41.8086452,2.0986826
cens-0813850006-294,ÒPTICA MOIÀ,42.0,"PL MAJOR 8, 08180 Moià",425081.74,4629303.93,41.8120203,2.0980366
cens-0820210007-1206,Sanjuan òptics,41.0,"C MAJOR (SANT CELONI) 170, 08470 Sant Celoni",457792.11,4615536.74,41.6904386,2.4928029
cens-0816140003-224,Opticalia,6.0,"Cr Piereta 44, 08784 Piera",395968.04,4597548.69,41.5227723,1.7531277
cens-0816140003-687,Vista ôptica Focus,6.0,"Cr Pau Claris 14-16, Local 3, 08782 Piera",395900.33,4597630.43,41.5234996,1.7523022
cens-0810690004-7363,Maria Roca Optica,41.0,"AV PAU CASALS 87 bis, 08450 Llinars del Vallès",449993.53,4609954.09,41.6397049,2.3995621
cens-0810690004-7530,Optica Llinars,41.0,"C SANTIAGO RUSIÑOL 12, 08450 Llinars del Vallès",450111.28,4609891.18,41.6391457,2.4009811
cens-0815930008-2200,ÒPTICA 90,41.0,"AV CATALUNYA 90, 08150 Parets del Vallès",435637.04,4601328.52,41.5609882,2.2281205
cens-0806890004-204,OPTICA VILOSA,11.0,"C MAJOR 107, 08758 Cervelló",412834.12,4583271.34,41.3962023,1.9573021
cens-0802910007-88,MASVISION,21.0,"CTRA NACIONAL II 644, LOCAL 24 I 25, 08349 Cabrera de Mar",451679.3,4596572.21,41.5192783,2.4208803
cens-0828580001-200,CLÍNICA DEL PEU,24.0,"C BELLMUNT 13, B * *, 08570 TORELLÓ",439258.71,4655485.95,42.0490333,2.266004
cens-0803330008-2663,NATURAL OPTICS MONTBUI-CENTRE AUDITIU,41.0,"AV PI I MARGALL 129, 08140 CALDES DE MONTBUI",430668.43,4608797.25,41.6278397,2.167676
cens-0811410007-1157,PLANS,11.0,"C FRANCESC SANTACANA 22, 08292 MARTORELL",410602.0,4592159.0,41.4760005,1.9292907
cens-0817270005-3879,MR OPTICS,21.0,"C MOSSEN JACINT VERDAGUER 64-66, PB 2, 08330 Premià de Mar",446306.75,4593637.55,41.4925035,2.3567561
cens-0811410007-311,CENTRE VISIÓ GRUP,11.0,"AVGDA FRANCESC RIERA 9, 08760 MARTORELL",409463.0,4592868.0,41.482258,1.9155449
cens-0811410007-1343,ÓPTICA EL PLA,11.0,"C PEP VENTURA 8, 08760 MARTORELL",409712.0,4592670.0,41.4805029,1.9185566
cens-0811410007-902,BCN ÒPTICS MARTORELL,11.0,"AVGDA FRANCESC RIERA 10, local 6, 08760 MARTORELL",409378.0,4592922.0,41.4827347,1.9145188
cens-0811410007-915,G&MÒPTICS,11.0,"C JOAN MARAGALL 3, 08760 MARTORELL",409553.0,4592576.0,41.4796384,1.9166665
cens-0811410007-1368,SANT JORDI ÓPTICOS,11.0,"AVGDA CAPITÀ FRANCESC BATLLEVELL 2, local 8, 08760 MARTORELL",409928.0,4592281.0,41.4770238,1.9212014
cens-0811410007-56,OPTICA 2000,11.0,"RBLA DE LES BÒBILES 5-7, 08760 MARTORELL",409570.0,4592467.0,41.4786587,1.9168865
cens-0828580001-477,OPTICA TORELLÓ,24.0,"C ESTUDIS (ELS) 3, * * A, 08570 TORELLÓ",439156.13,4655306.76,42.0474116,2.2647831
cens-0811410007-1426,MULTIÓPTICAS JOSA,11.0,"PL VILA 9, 08760 MARTORELL",410735.0,4592177.0,41.4761774,1.9308807
cens-0811410007-974,MULTIÓPTICAS JOSA,11.0,"C DOCTOR LLUÍS GAYÀ 2 B, 08760 MARTORELL",409752.0,4592470.0,41.4787062,1.9190655
cens-0827470005-687,ÒPTICA RIBERA,7.0,"C GONZALEZ SOLESIO 35, 08260 Súria",396408.64,4631694.65,41.8303198,1.7524826
cens-0821350006-1370,ÒPTICA BAGES,7.0,"C GERMAN DURAN 1, BAIXOS 2, 08272 SANT FRUITÓS DE BAGES",406623.7,4622784.57,41.7513512,1.8768769
cens-0810560009-130,VISTAOPTICA,41.0,"AVGDA Onze de Setembre 37, 08120 LLAGOSTA",432692.0,4596203.0,41.514582,2.1933789
cens-0812060009-96,ÒPTICA MATADEPERA,40.0,"PSAJE RELLOTGE (DEL) 3, B, 08230 MATADEPERA",419010.62,4605960.0,41.6011888,2.0281259
cens-0890240003-654,OPTIFUTUR,41.0,"RONDA EIXAMPLE (DE L') 67, 08410 VILANOVA DEL VALLÈS",440420.7,4600190.23,41.5511066,2.2855975
cens-0826280001-287,CENTRE ÒPTIC DEL BAGES,7.0,"C PRIM 5, BX, 08295 Sant Vicenç de Castellet",405325.52,4613243.64,41.6652769,1.8627808
cens-0806410007-10,OPTINOVA SCP,42.0,"C BELLVER 6, 08183 Castellterçol",426897.11,4622395.26,41.7499698,2.1207403
cens-0826710007-237,VISTA OPTICA,40.0,"PL SANT MENNA 8, 08181 Sentmenat",428060.22,4606441.23,41.6063896,2.1366509
cens-0816350006-700,OPTICA CLARAMUNT,21.0,"PL MELIES 31, BAIXOS LOCAL 1, 08397 Pineda de Mar",474090.24,4608385.81,41.6267262,2.6889581
cens-0816350006-458,OPTICA MARESME,21.0,"PTGE PARE COLL 1, LOCAL 2 I 3, 08397 Pineda de Mar",474209.83,4608295.19,41.6259139,2.6903977
cens-0816350006-2494,OPTICA POBLE NOU,21.0,"AV HISPANITAT 17-19, LOCAL 1, 08397 Pineda de Mar",472605.93,4607423.65,41.6180102,2.6711836
cens-0811200000-1212,ÒPTICA MANLLEU,24.0,"C SANT JORDI 7, MANLLEU",440818.51,4650015.23,41.9998827,2.2854031
cens-0827470005-1175,ÒPTICA SÚRIA,7.0,"C GONZALEZ SOLESIO 1, BX A, 08260 Súria",396323.18,4631772.17,41.8310067,1.7514401
cens-0813500000-223,OPTICA HOSPITALÀRIA,41.0,"C MAJOR 53, LOC 3, 08160 Montmeló",437104.97,4600139.95,41.5503999,2.2458478
cens-0826130008-124,MURALLA OPTICA,21.0,"CTRA N-II PK 673 (CENTRE COMERCIAL CARREFOUR) LOCAL 2, 08398 Santa Susanna",476471.0,4609545.0,41.6372411,2.7174928
cens-0817270005-1190,ÒPTICA CASABLANCA,21.0,"C GRAN VIA DE LLUIS COMPANYS 162, PB 1-2, 08330 Premià de Mar",446342.32,4593596.99,41.4921406,2.3571858
cens-0817270005-3635,CENTRE OPTIC MARESME,21.0,"C MOSSEN JACINT VERDAGUER 71, PB 2, 08330 Premià de Mar",446326.9,4593677.74,41.4928669,2.3569939
cens-0817270005-1146,ÒPTICA COTTET,21.0,"C GRAN VIA DE LLUIS COMPANYS 149, PB, 08330 Premià de Mar",446270.7,4593581.27,41.4919942,2.3563292
cens-0813500000-265,OPTICA CATAFAL,41.0,"AV POMPEU FABRA 4, LOC A, 08160 Montmeló",437342.81,4600325.57,41.5520904,2.24868
cens-0811200000-1524,OPTICA ESTRADA,24.0,"AV ROMA 97, 08560 Manlleu",440843.07,4650479.56,42.0040663,2.2856528
cens-0815550006-336,ÒPTICA PALAFOLLS,21.0,"PL DE LES VALLS D'AX 2-2, LOCAL 1, 08389 PALAFOLLS",479390.17,4613029.64,41.668709,2.7524221
cens-0816350006-3379,ÒPTICA MURALLA,21.0,"C MORAGAS I BARRET 57-59, lc B, 08397 Pineda de Mar",474029.66,4608253.95,41.6255365,2.6882366
cens-0813500000-270,ÒPTICA CATAFAL,41.0,"AV POMPEU FABRA 2, 08160 Montmeló",437350.14,4600336.78,41.5521919,2.2487668
cens-0815930008-2740,AJUNTAMENT - ÀREA DE SERVEIS TERRITORIALS,41.0,"C MAJOR 1, 08150 Parets del Vallès",436112.68,4602645.58,41.5728886,2.233684
