store_id,store_name,product_id,product_name,product_price,manufacture_date,expiry_date,quantity
cens-0820210007-3653,ESCLAT-BON PREU,105.1.1,Amul Kool  (Kesar),23,01 Mar 2024,28 Aug 2024,21
cens-0820210007-3653,ESCLAT-BON PREU,46.1.9,PARLE Krack Jack Crackers Sweet & Salty (Mitha & Luniya)  (200 g),4,01 Feb 2024,27 Sep 2024,54
cens-0820210007-3653,ESCLAT-BON PREU,33.1.10,RUNutz Almonds (Badam)  (1 kg),"1,025",01 Feb 2024,29 Jul 2024,7
cens-0820210007-3653,ESCLAT-BON PREU,28.1.17,"Utkal's Kasper HMT Rice (Full Grain, Steam)  (10 kg)",826,01 Feb 2024,27 Oct 2024,68
cens-0820210007-3653,ESCLAT-BON PREU,58.1.15,"Nescafe Classic Coffee Powder, 100% Pure Instant Coffee  (45 g)",17,01 Jul 2023,29 Jan 2025,15
cens-0820210007-3653,ESCLAT-BON PREU,85.1.8,VEEBA Veg Mayonnaise Eggless 250 g,81,22 Feb 2024,18 Sep 2024,82
cens-0820210007-3653,ESCLAT-BON PREU,89.1.37,Madhuban Lollypolly Flavoured Mango Candy  (100 g),40,18 Feb 2024,15 Aug 2024,37
cens-0820210007-3653,ESCLAT-BON PREU,23.1.33,EVEREST Hingraj (Hengu Powder)  (50 g),143,01 Feb 2024,24 Jul 2025,88
cens-0820210007-3653,ESCLAT-BON PREU,48.1.4,Dukes Waffy Chocolate flavoured Wafer roll Waffles  (250 g),90,21 Feb 2024,16 Nov 2024,81
cens-0820210007-3653,ESCLAT-BON PREU,74.1.1,"HERSHEY'S Chocolate Flavor Syrup Chocolates  (200 g, Pack of 1)",95,01 Dec 2023,24 Dec 2024,25
cens-0820210007-3653,ESCLAT-BON PREU,49.1.38,Flipkart Supermart Andhra Mixture  (200 g),44,05 Mar 2024,04 Sep 2024,100
cens-0820210007-3653,ESCLAT-BON PREU,24.1.37,Emami Healthy and Tasty Chicken Masala  (50 g),46,22 Dec 2023,15 Dec 2024,9
cens-0820210007-3653,ESCLAT-BON PREU,5.1.12,Classic Green Peas (Motoro) (Whole) by Flipkart Grocery  (500 g),60,01 Mar 2024,25 Nov 2024,61
cens-0820210007-3653,ESCLAT-BON PREU,15.1.13,"PATANJALI Chakki Atta, Whole Wheat with Bran, Genhu ka Atta, Organic Flour (Whole-Gehuro otta)  (10 kg)",480,23 Feb 2024,22 Jun 2024,46
cens-0820210007-3653,ESCLAT-BON PREU,50.2.19,tagz Cream Onion Divin Chips  (40 g),50,01 Nov 2023,26 Aug 2024,57
cens-0820210007-3653,ESCLAT-BON PREU,53.1.14,Red Label Tea Box (Regular Tea)  (250 g),13,01 Feb 2024,31 Jan 2025,57
cens-0820210007-3653,ESCLAT-BON PREU,80.1.4,Yogabar Multigrain Energy Bar Pouch  (38 g),40,16 Jan 2024,16 May 2024,87
cens-0820210007-3653,ESCLAT-BON PREU,22.2.7,Mark Premium Roasted Saunf (Pana Madhuri)  (200 g),90,14 Nov 2023,11 May 2024,51
cens-0820210007-3653,ESCLAT-BON PREU,68.1.8,Appy Fizz Plastic Bottle  (1 L),60,26 Feb 2024,24 Jun 2024,58
cens-0820210007-3653,ESCLAT-BON PREU,9.1.9,Freedom Refined Sunflower Oil Can (Surjyamukhi Tela)  (5 L),72,01 Mar 2024,29 Nov 2024,65
cens-0820210007-3653,ESCLAT-BON PREU,90.1.5,Doublemint Chewymint Tube Peppermint Mouth Freshener  (30.4 g),50,01 Jan 2024,25 Dec 2024,33
cens-0820210007-3653,ESCLAT-BON PREU,82.1.12,Yu Three Cheese Cup Pasta-Instant Food Ready To Eat in 4 Mins-No Preservatives Pasta  (220 g),57,01 Aug 2023,25 Jul 2024,69
cens-0820210007-3653,ESCLAT-BON PREU,24.1.7,"Tata Sampann Kashmiri Red Chilli Powder, Natural Colour & Oils (Lal lanka gunda)  (100 g)",89,01 Jan 2024,25 Dec 2024,16
cens-0820210007-3653,ESCLAT-BON PREU,28.1.1,KOHINOOR Charminar Long Grain Rice (Orua Chaulo) (Long Grain)  (5 kg),599,01 Dec 2023,19 Nov 2025,30
cens-0820210007-3653,ESCLAT-BON PREU,31.1.20,Unity From The House of India Gate - Dubar Basmati Rice (Basmati chaula) (Medium Grain)  (5 kg),590,01 Dec 2023,19 Nov 2025,98
cens-0820210007-3653,ESCLAT-BON PREU,23.1.34,Tata Sampann Coriander Powder With Natural Oils (dhania gunda)  (500 g),220,23 Dec 2023,21 Dec 2024,47
cens-0820210007-3653,ESCLAT-BON PREU,82.1.19,CHEF'S BASKET Durum Wheat Penne Pasta  (500 g),54,01 Sep 2023,25 Aug 2024,53
cens-0820210007-3653,ESCLAT-BON PREU,11.1.7,Del Monte Extra Virgin Olive Oil Plastic Bottle  (500 ml),"1,100",01 Jul 2023,21 Dec 2024,30
cens-0820210007-3653,ESCLAT-BON PREU,89.1.20,Hajmola Regular  (120 pieces),7,01 Jan 2024,20 Dec 2025,36
cens-0820210007-3653,ESCLAT-BON PREU,98.1.5,Delish by Flipkart Ready To Eat Vegetable Upma 60 g,24,24 Feb 2024,21 Aug 2024,90
cens-0820210007-3653,ESCLAT-BON PREU,49.2.6,Bikano Moong Dal  (400 g),11,10 Feb 2024,10 Aug 2024,14
cens-0820210007-3653,ESCLAT-BON PREU,14.1.4,EMAMI Healthy & Tasty Ultra Lite Refined Soyabean Oil Jar (Soyabean Tela)  (5 L),725,09 Nov 2023,04 Aug 2024,52
cens-0820210007-3653,ESCLAT-BON PREU,44.1.12,Sunfeast Oats & Almonds Cookies Digestive  (150 g),65,01 Jan 2024,26 Sep 2024,25
cens-0820210007-3653,ESCLAT-BON PREU,49.1.40,Prabhuji Chat Pata (Bhujia Sev)  (900 g),399,09 Feb 2024,06 Aug 2024,65
cens-0820210007-3653,ESCLAT-BON PREU,46.1.1,BRITANNIA Little Hearts Classic Sweet & Salty (Mitha & Luniya)  (75 g),30,16 Jan 2024,15 Jul 2024,66
cens-0820210007-3653,ESCLAT-BON PREU,3.1.6,Classic Green Moong Dal (Muga Dali) (Split/Chilka) by Flipkart Grocery  (1 kg),200,14 Mar 2024,09 Sep 2024,72
cens-0820210007-3653,ESCLAT-BON PREU,58.1.19,Nescafe Gold Blend Instant Coffee  (185 g),990,01 Mar 2023,29 Mar 2025,65
cens-0820210007-3653,ESCLAT-BON PREU,50.1.35,"Lay's Wafer Style Potato Chips , Sundried Chilli, Crispy Thin Chips Snacks Chips  (40 g)",2,01 Mar 2024,28 Jun 2024,85
cens-0820210007-3653,ESCLAT-BON PREU,9.1.1,Fortune Sunlite Refined Sunflower Oil Can (Surjyamukhi Tela)  (5 L),655,01 Feb 2024,31 Jan 2025,85
cens-0820210007-3653,ESCLAT-BON PREU,89.1.12,Orbit Sugarfree Tube Spearmint Chewing Gum  (22 g),50,01 Jan 2024,25 Dec 2024,93
cens-0800180001-1321,MERCADONA,89.1.21,Center Fruit Tennis Ball Shape Pineapple Chewing Gum  (67.2 g),50,01 Jan 2024,30 Jan 2025,35
cens-0800180001-1321,MERCADONA,23.1.33,EVEREST Hingraj (Hengu Powder)  (50 g),143,01 Feb 2024,24 Jul 2025,7
cens-0800180001-1321,MERCADONA,89.2.3,Vicks Cough Drops Ginger Toffee  (36 g),2,01 Dec 2023,23 May 2025,54
cens-0800180001-1321,MERCADONA,50.1.10,Lay’s Magic Masala Chips  (3 x 90 g),150,01 Mar 2024,28 Jul 2024,99
cens-0800180001-1321,MERCADONA,66.1.4,Maaza Mango  (1.2 L),75,16 Feb 2024,15 Aug 2024,62
cens-0800180001-1321,MERCADONA,93.1.9,Apis Himalayan Honey  (750 g),490,01 Jan 2024,20 Dec 2025,18
cens-0800180001-1321,MERCADONA,42.1.19,UNIBIC Fruit and Nut Cookies  (75 g),30,01 Jan 2024,30 Jun 2024,70
cens-0800180001-1321,MERCADONA,97.1.4,"MTR Gulab Jamun Mix 350 g  (Combo Pack 1 + 1 Free, 160 g each)",14,27 Oct 2023,22 Jul 2024,65
cens-0800180001-1321,MERCADONA,59.1.2,FROOTI Mango Drink  (200 ml),15,25 Feb 2024,22 Aug 2024,34
cens-0800180001-1321,MERCADONA,88.1.12,Delish by Flipkart Besan Laddoo Pouch (Laddu)  (200 g),46,01 Mar 2024,30 Jun 2024,82
cens-0800180001-1321,MERCADONA,20.1.4,Classic Sooji/Bombay Rava by Flipkart Grocery (Suji)  (1 kg),80,09 Mar 2024,07 Jun 2024,59
cens-0800180001-1321,MERCADONA,78.1.20,"Yogabar Almonds,Seeds and whole Grains Muesli Box  (400 g)",390,31 Jan 2024,28 Jul 2024,55
cens-0800180001-1321,MERCADONA,97.1.24,MTR Ready Mix Upma 160 g,55,18 Oct 2023,13 Jul 2024,92
cens-0800180001-1321,MERCADONA,53.1.7,Flipkart SmartBuy CTC Tea Pouch (Regular Tea)  (1 kg),290,14 Feb 2024,09 Nov 2024,71
cens-0800180001-1321,MERCADONA,89.1.40,Candyman Eclairs Toffee  (240 g),50,01 Jan 2024,31 Dec 2024,45
cens-0800180001-1321,MERCADONA,68.1.11,Pepsi Black Max Taste Zero Sugar Can  (250 ml),35,16 Jan 2024,13 Jul 2024,48
cens-0800180001-1321,MERCADONA,66.1.23,Real Activ Fiber+ Multi Fruit Juice  (1 L),170,01 Feb 2024,31 Aug 2024,18
cens-0800180001-1321,MERCADONA,60.1.2,Real Masala Mixed Fruit  (1 L),65,01 Feb 2024,27 Oct 2024,22
cens-0800180001-1321,MERCADONA,23.1.18,zoff Turmeric Powder  (200 g),46,07 Mar 2024,30 May 2025,53
cens-0800180001-1321,MERCADONA,35.1.17,Farmley Premium Pitted Prunes  (200 g),399,10 Nov 2023,05 Aug 2024,48
cens-0800180001-1321,MERCADONA,50.1.29,"Bingo Cheese Flavour, Free Dip, Thin and Crunchy Chips, Nachos  (2N SRIRACHA CHILLI SAUCE DIPS Free)  (82.5 g)",50,12 Mar 2024,07 Sep 2024,22
cens-0800180001-1321,MERCADONA,37.1.3,Nutraj California Roasted & Salted Pistachios  (250 g),499,22 Feb 2024,19 Nov 2024,64
cens-0800180001-1321,MERCADONA,39.1.2,Organic Tattva Sugar (White Sugar)  (500 g),85,01 Nov 2023,25 Oct 2024,41
cens-0800180001-1321,MERCADONA,4.1.7,Organic Tattva Kabuli Chana (Kabuli Buta) (Whole)  (1 kg),395,01 Nov 2023,25 Oct 2024,48
cens-0800180001-1321,MERCADONA,97.1.20,MTR Masala Rava Idli Ready Mix 500 g,130,01 Sep 2023,25 Aug 2024,85
cens-0800180001-1321,MERCADONA,100.1.3,Flipkart Supermart Green Chilli Sauce  (190 g),73,01 Feb 2024,27 Oct 2024,23
cens-0800180001-1321,MERCADONA,97.1.19,Gits Rabdi Instant Dessert Mix 100 g,99,01 Feb 2024,25 Jan 2025,30
cens-0800180001-1321,MERCADONA,8.1.16,Flipkart Grocery Classic Desi Ghee 500 ml Tetrapack (Ghio),420,19 Feb 2024,18 Nov 2024,12
cens-0800180001-1321,MERCADONA,87.1.11,Cadbury Bournville Fruit & Nut Dark Chocolate Bars  (80 g),84,04 Nov 2023,30 Jul 2024,52
cens-0800180001-1321,MERCADONA,28.1.4,"Sublabh Ultra Baskati Rice (Long Grain, Parboiled)  (5 kg)",475,01 Feb 2024,25 Jan 2025,96
cens-0800180001-1321,MERCADONA,85.1.17,Delish by Flipkart Cocoa and Chocolate Spread 300 g,280,01 Dec 2023,24 Nov 2024,13
cens-0800180001-1321,MERCADONA,37.1.24,Farmley Premium Jumbo Walnut Inshell Walnuts (Akhrot)  (1 kg),899,01 Feb 2024,31 Oct 2024,15
cens-0800180001-1321,MERCADONA,22.1.24,zoff Tamarind/Imli (Tentuli)  (500 g),64,01 Mar 2024,23 Feb 2025,4
cens-0800180001-1321,MERCADONA,31.1.32,Daawat Sehat Mogra Basmati Rice (Basmati chaula) (Broken Grain)  (5 kg),415,01 Oct 2023,19 Sep 2025,69
cens-0800180001-1321,MERCADONA,81.1.12,Wai Wai Ready to Eat Veg Masala CUP Instant Noodles Vegetarian  (75 g),55,01 Jan 2024,30 Sep 2024,33
cens-0800180001-1321,MERCADONA,101.1.1,Flipkart Supermart Vinegar  (200 ml),70,01 Mar 2024,25 Nov 2024,34
cens-0800180001-1321,MERCADONA,78.1.1,"Kellogg's Nuts Delight, 12-in-1 Power Breakfast, IndiaNo.1 Muesli Cereal Pouch  (1000 g)",810,20 Feb 2024,15 Nov 2024,12
cens-0800180001-1321,MERCADONA,42.2.5,KARACHI BAKERY Cashew Biscotti  (400 g),210,01 Feb 2024,01 Jul 2024,27
cens-0800180001-1321,MERCADONA,15.1.4,Classic Wheat Flour Atta by Flipkart Grocery (Whole-Gehuro otta)  (10 kg),650,16 Mar 2024,14 Jun 2024,54
cens-0800180001-1321,MERCADONA,96.1.11,Delish by Flipkart Tomato Soup Powder  (15 g),15,08 Aug 2023,07 Aug 2024,92
cens-0800180001-1635,SUPERMERCAT ALI,7.1.7,Fortune Xpert Pro Sugar Conscious Blended Oil Can (Mishrita Tela)  (5 L),90,01 Dec 2023,24 Nov 2024,69
cens-0800180001-1635,SUPERMERCAT ALI,77.1.21,Delish by Flipkart Choco Flakes Pouch  (1.2 kg),570,19 Feb 2024,14 Nov 2024,72
cens-0800180001-1635,SUPERMERCAT ALI,2.1.3,Classic Urad Gota (Gota Biri Dali) (Whole) by Flipkart Grocery  (500 g),78,01 Mar 2024,25 Nov 2024,53
cens-0800180001-1635,SUPERMERCAT ALI,50.1.19,Beyond Snack Kerala Banana Original Style Chips  (10 g Extra in Pack)  (75 g),60,01 Mar 2024,27 Aug 2024,57
cens-0800180001-1635,SUPERMERCAT ALI,47.1.1,PARLE Monaco Classic Cheeselets  (300 g),140,06 Feb 2024,04 Aug 2024,10
cens-0800180001-1635,SUPERMERCAT ALI,6.1.6,Classic Soya Chunks by Flipkart Grocery  (400 g),52,01 Mar 2024,29 Nov 2024,27
cens-0800180001-1635,SUPERMERCAT ALI,87.1.5,Cadbury Dairy Milk Fruit and Nut Chocolate Bars  (36 g),41,01 Jan 2024,30 Dec 2024,92
cens-0800180001-1635,SUPERMERCAT ALI,110.1.4,"Sofit Soya Drink  (Vanilla, 1 L)",155,01 Feb 2024,27 Oct 2024,52
cens-0800180001-1635,SUPERMERCAT ALI,22.1.14,zoff Poppy Seeds (Posta)  (100 g),430,01 Oct 2023,30 Sep 2024,44
cens-0800180001-1635,SUPERMERCAT ALI,84.1.6,Del Monte Tomato Sweet and Spicy Ketchup  (800 g),65,06 Jan 2024,05 Jan 2025,61
cens-0800180001-1635,SUPERMERCAT ALI,32.1.10,Kalbavi whole with testa (Kaju) (outer layer) Cashews  (500 g),599,20 Nov 2023,17 Aug 2024,49
cens-0800180001-1635,SUPERMERCAT ALI,34.1.28,ProV SELECT INDIAN RAISINS Raisins (Kishmish)  (500 g),299,01 Mar 2024,30 Sep 2024,10
cens-0800180001-1635,SUPERMERCAT ALI,52.1.2,"Let's Try Crunchy Party Mix,Made with 100% Groundnut Oil (Chana dali)  (200 g)",64,10 Nov 2023,07 May 2024,75
cens-0800180001-1635,SUPERMERCAT ALI,24.1.21,zoff Hing Powder (Hengu Powder)  (25 g),70,01 Oct 2023,19 Sep 2025,89
cens-0800180001-1635,SUPERMERCAT ALI,4.1.1,Tata Sampann Kabuli Chana (Kabuli Buta) (Whole)  (1 kg),319,01 Feb 2024,30 Jan 2025,36
cens-0800180001-1635,SUPERMERCAT ALI,87.1.27,"Cadbury Dairy Milk Almond, Roasted & Chocolate Coated Bites  (40 g)",7,01 Jan 2024,26 Sep 2024,90
cens-0800180001-1635,SUPERMERCAT ALI,34.2.3,Molsi's Medjool Dates (Khajuri)  (500 g),"1,000",01 Nov 2023,25 Oct 2024,10
cens-0800180001-1635,SUPERMERCAT ALI,94.1.1,Delish by Flipkart Mango Pickle (Acharo)  (400 g),65,01 Mar 2024,23 Feb 2025,35
cens-0800180001-1635,SUPERMERCAT ALI,42.2.18,"Anmol Shortbread Cookies  (120 g, Pack of 24)",60,23 Nov 2023,20 May 2024,74
cens-0800180001-1635,SUPERMERCAT ALI,37.1.13,Farmley Premium California Roasted & Salted Pistachios  (200 g),369,10 Mar 2024,09 Dec 2024,85
cens-0800180001-1635,SUPERMERCAT ALI,97.1.21,Gits Jalebi with Maker Dessert Mix 100 g,85,14 Sep 2023,07 Sep 2024,96
cens-0800180001-1635,SUPERMERCAT ALI,90.1.6,Delight nuts Rajasthani Saunf Rose Mint Mouth Freshener  (120 g),68,01 Nov 2023,25 Oct 2024,56
cens-0800180001-1635,SUPERMERCAT ALI,89.1.20,Hajmola Regular  (120 pieces),7,01 Jan 2024,20 Dec 2025,72
cens-0800180001-1635,SUPERMERCAT ALI,88.1.14,Bikano Besan Laddu Box  (400 g),280,28 Feb 2024,28 Aug 2024,49
cens-0800180001-1635,SUPERMERCAT ALI,23.2.11,EVEREST Hing Powder (Hengu Powder)  (100 g),275,01 Oct 2023,23 Mar 2025,93
cens-0800180001-1635,SUPERMERCAT ALI,23.1.29,zoff Coriander/Dhaniya Powder (dhania gunda)  (200 g),90,01 Mar 2024,01 Mar 2025,72
cens-0800180001-1635,SUPERMERCAT ALI,67.1.15,"HORLICKS Classic Malt| Health, Milk and Nutrition Drink (Malted)  (500 g)",26,01 Feb 2024,31 Jan 2025,25
cens-0800180001-1635,SUPERMERCAT ALI,85.1.19,HERSHEY'S Spreads Cocoa with Almond 350 g (Chocolate Spread),320,01 Nov 2023,25 Oct 2024,69
cens-0800180001-1635,SUPERMERCAT ALI,39.1.3,Mishti By Dhampur Premium Sugar (White Sugar)  (1 kg),65,01 Mar 2024,18 Feb 2026,18
cens-0800180001-1635,SUPERMERCAT ALI,15.1.3,Classic Wheat Flour Atta by Flipkart Grocery (Whole-Gehuro otta)  (5 kg),330,01 Feb 2024,30 Apr 2024,42
cens-0800180001-1635,SUPERMERCAT ALI,8.1.6,Amul Pure Ghee 1 L Tetrapack (Ghio),63,01 Jan 2024,27 Sep 2024,76
cens-0800180001-1635,SUPERMERCAT ALI,97.1.15,MTR Rice Idli Ready Mix 500 g,135,01 Oct 2023,24 Sep 2024,91
cens-0800180001-1635,SUPERMERCAT ALI,31.1.31,"INDIA GATE Rozana Basmati Rice (Basmati chaula) (Medium Grain, Polished)  (250G INDIA GATE CLASSIC BASMATI RICE Free)  (5 kg)",605,01 Feb 2024,20 Jan 2026,24
cens-0800180001-1635,SUPERMERCAT ALI,8.1.1,Gowardhan Pure Cow Ghee 750 ml Pouch,549,27 Feb 2024,20 Feb 2025,50
