product,avg_expiry_days
4700BC Cheese Popcorn  (60 g),60
7UP Soft Drink PET Bottle  (2.25 L),119
AASHIRVAAD Atta with Multigrains (Mix sosyo ro otta)  (5 kg),1
AASHIRVAAD Rava Idli Instant Mix 500 g,1
AASHIRVAAD Select Sharbati Atta MP Wheat Atta for softer rotis (Whole-Gehuro otta)  (5 kg),7
AASHIRVAAD Shudh Chakki Atta (Whole-Gehuro otta)  (10 kg),7
AASHIRVAAD Shudh Chakki Atta (Whole-Gehuro otta)  (5 kg),7
ACT II Barbeque Popcorn  (106 g),14
ACT II Golden Sizzle Popcorn Golden Sizzle Popcorn  (90 g),14
cust_purchaseACT II Golden Sizzle Popcorn Salted Popcorn  (180 g, Pack of 3)cust_purchase,14
cust_purchaseACT II Instant Popcorn (Cooker) - Cheese Flavor Buy 2 Get 1 Free Cheese Popcorn  (Combo Pack 2 + 1 Free, 70 g each)  (210 g, Pack of 2)cust_purchase,60
ACT II Instant Popcorn Golden Sizzle Popcorn  (60 g),14
ACT II Nachoz - Tomato Nachos Chips  (150 g),14
cust_purchaseACT II Party Pack Butter Delite Popcorn Butter Delite Popcorn  (Combo Pack 2 + 1 Free, 120 g each)  (450 g, Pack of 2)cust_purchase,14
ASHTAVINAYAK Sanjeevani Cow Ghee 900 ml Tetrapack,179
ASHTAVINAYAK Sanjeevani Desi Ghee 900 ml Tetrapack,179
Aadhar Refined Sunflower Oil Pouch (Surjyamukhi Tela)  (1 L),224
Agrilite Arwa Std Katarni Rice (Medium Grain)  (10 kg),4
Agrilite Arwa Std Katarni Rice (Medium Grain)  (5 kg),4
Agrilite Besan  (500 g),89
Agrilite HMT Sonam Steam Rice (Medium Grain)  (5 kg),180
Agrilite Maida  (500 g),89
Agrilite Sonachoor Gobindobhog Rice (Medium Grain)  (5 kg),4
Agrilite Sooji Rawa (Suji)  (500 g),89
Agrilite USNA Parmal Boiled Rice (Futa chaula) (Medium Grain)  (5 kg),224
Agrilite Whole Wheat Chakki Atta (Whole-Gehuro otta)  (1 kg),7
Agrilite Whole Wheat Chakki Atta (Whole-Gehuro otta)  (10 kg),7
Agrilite Whole Wheat Chakki Atta (Whole-Gehuro otta)  (5 kg),7
Agro Fresh Channa Besan  (500 g),89
Agro Fresh Maida  (1 kg),89
Agro Fresh Maida  (500 g),89
