store_id,store_name,product_id,product_name,manufacture_date,expiry_date,quantity
cens-0820210007-3653,ESCLAT-BON PREU,23.1.18,zoff Turmeric Powder  (200 g),07 Mar 2024,30 May 2025,56
cens-0820210007-3653,ESCLAT-BON PREU,84.1.3,Kissan Tomato Ketchup  (1.1 kg),01 Mar 2024,30 Nov 2024,27
cens-0820210007-3653,ESCLAT-BON PREU,108.1.4,Amul School Pack Salted Butter  (100 g),18 Feb 2024,11 Feb 2025,63
cens-0820210007-3653,ESCLAT-BON PREU,69.1.6,"Red Bull Original Energy Drink  (250 ml, Plain Flavored)",01 Jul 2023,19 Jun 2025,91
cens-0820210007-3653,ESCLAT-BON PREU,23.1.10,MDH Deggi Mirch Chilli Powder (Lal lanka gunda)  (100 g),01 Dec 2023,24 Nov 2024,39
cens-0820210007-3653,ESCLAT-BON PREU,82.1.20,CHEF'S BASKET Durum Wheat Elbow Macaroni Pasta  (500 g),01 Sep 2023,21 Feb 2025,37
cens-0820210007-3653,ESCLAT-BON PREU,53.1.20,GINNI Elaichi Tea Pouch (Flavored Tea)  (200 g),01 Mar 2024,01 Mar 2025,63
cens-0820210007-3653,ESCLAT-BON PREU,43.1.25,"Parle Platina Milano Choco Delight Cream Filled  (250 g, Pack of 20)",08 Mar 2024,03 Oct 2024,74
cens-0820210007-3653,ESCLAT-BON PREU,83.1.3,MTR Vermicelli 850 g (Plain)  (Plain),01 Feb 2024,31 Jan 2025,74
cens-0820210007-3653,ESCLAT-BON PREU,106.1.14,Amul Plain Processed cheese Block  (200 g),25 Nov 2023,21 Aug 2024,100
cens-0820210007-3653,ESCLAT-BON PREU,88.1.12,Delish by Flipkart Besan Laddoo Pouch (Laddu)  (200 g),01 Mar 2024,30 Jun 2024,44
cens-0820210007-3653,ESCLAT-BON PREU,32.1.18,Bolas Tiny Cashew Nuts Cashews (Kaju)  (500 g),25 Mar 2024,19 Mar 2025,41
cens-0820210007-3653,ESCLAT-BON PREU,53.1.8,"Tata Tea Premium Teaveda Tulsi, Cardamom, Ginger Black Tea Box  (500 g)",01 Mar 2024,24 May 2025,17
cens-0820210007-3653,ESCLAT-BON PREU,15.1.4,Classic Wheat Flour Atta by Flipkart Grocery (Whole-Gehuro otta)  (10 kg),16 Mar 2024,14 Jun 2024,73
